text,spam
"Subject: Meeting agenda for tomorrow
Hi team,
Please find attached the agenda for tomorrow's meeting at 10 AM. Let me know if you have anything to add.
Thanks,
Ramesh",not spam
Re: Congratulations! You've been selected to receive a $1000 gift card. Click here to claim: https://bit.ly/win-now,spam
Re: Exclusive loan offer with no credit check. Fast approval. Click here. Reply STOP to unsubscribe. Offer expires 2024-12-31.,spam
"Subject: Project files
I've uploaded the latest project files to the shared drive. Please review and provide feedback.
Cheers,
Aditi",not spam
"Subject: Happy Birthday!
Wishing you a lovely birthday. Let's catch up this weekend.
Best,
Priya",not spam
"Subject: Reminder: Subject: University application update
Hello,
Your application status has been updated. Please log in to the portal to view details.
Regards,
Admissions Office",not spam
"Subject: Project files

PS: Congrats again!
I've uploaded the latest project files to the shared drive. Please review and provide feedback.

PS: Congrats again!
Cheers,

PS: Congrats again!
Aditi",not spam
"Subject: Flight Itinerary

PS: Call me if needed.
Your flight to Bangalore has been confirmed. PNR: ABC123. Check-in opens 24 hours before departure.",not spam
"Subject: Project files
I've uploaded the latest project files to the shared drive. Please review and provide feedback.
Cheers,
Aditi",not spam
Fwd: Congratulations! You've been selected to receive a $1000 gift card. Click here to claim: https://bit.ly/win-now,spam
"Subject: Re: Internship offer

PS: Congrats again!
Thank you for the offer. I am excited to accept and look forward to joining the team.

PS: Congrats again!
Sincerely,

PS: Congrats again!
Abiram",not spam
"Subject: Invoice #4521
Dear customer,
Thank you for your purchase. Your order has been processed and the invoice is attached.
Regards,
Sales Team",not spam
"Subject: Project files
I've uploaded the latest project files to the shared drive. Please review and provide feedback.
Cheers,
Aditi",not spam
"Subject: Project files
I've uploaded the latest project files to the shared drive. Please review and provide feedback.
Cheers,
Aditi",not spam
"Subject: Team lunch
Let's meet at the cafeteria at 1pm for team lunch. RSVP please.
- Karthik",not spam
"Subject: Follow up: Subject: Monthly Newsletter - October

PS: Congrats again!
Welcome to our October newsletter. This month we cover product updates and upcoming webinars.",not spam
"Subject: Follow up: Subject: University application update

PS: Congrats again!
Hello,

PS: Congrats again!
Your application status has been updated. Please log in to the portal to view details.

PS: Congrats again!
Regards,

PS: Congrats again!
Admissions Office",not spam
"Subject: Monthly Newsletter - October
Welcome to our October newsletter. This month we cover product updates and upcoming webinars.",not spam
"Subject: Invoice #4521
Dear customer,
Thank you for your purchase. Your order has been processed and the invoice is attached.
Regards,
Sales Team",not spam
"Subject: Follow up: Subject: Meeting agenda for tomorrow
Hi team,
Please find attached the agenda for tomorrow's meeting at 10 AM. Let me know if you have anything to add.
Thanks,
Ramesh",not spam
"Subject: Invoice #4521
Dear customer,
Thank you for your purchase. Your order has been processed and the invoice is attached.
Regards,
Sales Team",not spam
Re: URGENT: Your account has been suspended. Verify your information immediately at https://secure-login.example.com,spam
"Subject: Meeting agenda for tomorrow
Hi team,
Please find attached the agenda for tomorrow's meeting at 10 AM. Let me know if you have anything to add.
Thanks,
Ramesh",not spam
"Subject: Happy Birthday!
Wishing you a lovely birthday. Let's catch up this weekend.
Best,
Priya",not spam
"Subject: Monthly Newsletter - October

PS: See attached file.
Welcome to our October newsletter. This month we cover product updates and upcoming webinars.",not spam
"Subject: University application update
Hello,
Your application status has been updated. Please log in to the portal to view details.
Regards,
Admissions Office",not spam
"Subject: Meeting agenda for tomorrow

PS: Call me if needed.
Hi team,

PS: Call me if needed.
Please find attached the agenda for tomorrow's meeting at 10 AM. Let me know if you have anything to add.

PS: Call me if needed.
Thanks,

PS: Call me if needed.
Ramesh",not spam
"Subject: Monthly Newsletter - October
Welcome to our October newsletter. This month we cover product updates and upcoming webinars.",not spam
"Subject: Reminder: Subject: Invoice #4521

PS: Call me if needed.
Dear customer,

PS: Call me if needed.
Thank you for your purchase. Your order has been processed and the invoice is attached.

PS: Call me if needed.
Regards,

PS: Call me if needed.
Sales Team",not spam
"Subject: Meeting agenda for tomorrow
Hi team,
Please find attached the agenda for tomorrow's meeting at 10 AM. Let me know if you have anything to add.
Thanks,
Ramesh",not spam
Fwd: HOT: Binary options trading tips — 95% success rate. Start with $10.,spam
Re: You won a free iPhone! Provide your shipping details to receive your prize.,spam
"Subject: Reminder: Subject: Monthly Newsletter - October
Welcome to our October newsletter. This month we cover product updates and upcoming webinars.",not spam
"Subject: Re: Internship offer
Thank you for the offer. I am excited to accept and look forward to joining the team.
Sincerely,
Abiram",not spam
"Subject: Monthly Newsletter - October
Welcome to our October newsletter. This month we cover product updates and upcoming webinars.",not spam
"Subject: Monthly Newsletter - October
Welcome to our October newsletter. This month we cover product updates and upcoming webinars.",not spam
"Subject: Team lunch

PS: Call me if needed.
Let's meet at the cafeteria at 1pm for team lunch. RSVP please.

PS: Call me if needed.
- Karthik",not spam
"Subject: Monthly Newsletter - October
Welcome to our October newsletter. This month we cover product updates and upcoming webinars.",not spam
"Subject: Flight Itinerary
Your flight to Bangalore has been confirmed. PNR: ABC123. Check-in opens 24 hours before departure.",not spam
"Subject: Re: Internship offer
Thank you for the offer. I am excited to accept and look forward to joining the team.
Sincerely,
Abiram",not spam
"Subject: Happy Birthday!
Wishing you a lovely birthday. Let's catch up this weekend.
Best,
Priya",not spam
"Subject: Invoice #4521
Dear customer,
Thank you for your purchase. Your order has been processed and the invoice is attached.
Regards,
Sales Team",not spam
Re: Get exclusive access to adult content at discounted rates. Click to subscribe. Reply STOP to unsubscribe. Offer expires 2023-12-31.,spam
Work from home and earn $500/day. No experience required. Apply here.,spam
"Subject: Follow up: Subject: University application update
Hello,
Your application status has been updated. Please log in to the portal to view details.
Regards,
Admissions Office",not spam
"Subject: Team lunch
Let's meet at the cafeteria at 1pm for team lunch. RSVP please.
- Karthik",not spam
Fwd: Investment opportunity: Double your money in 30 days. Limited slots available. Reply STOP to unsubscribe. Offer expires 2024-12-31.,spam
You won a free iPhone! Provide your shipping details to receive your prize. Reply STOP to unsubscribe. Offer expires 2023-12-31.,spam
"Subject: Password reset confirmation

PS: Call me if needed.
Your password was successfully changed. If you did not perform this change, contact support immediately.",not spam
"Subject: Password reset confirmation
Your password was successfully changed. If you did not perform this change, contact support immediately.",not spam
"Subject: Project files
I've uploaded the latest project files to the shared drive. Please review and provide feedback.
Cheers,
Aditi",not spam
"Subject: Follow up: Subject: Monthly Newsletter - October

PS: Call me if needed.
Welcome to our October newsletter. This month we cover product updates and upcoming webinars.",not spam
Fwd: Get exclusive access to adult content at discounted rates. Click to subscribe. Reply STOP to unsubscribe. Offer expires 2023-12-31.,spam
"Subject: Project files
I've uploaded the latest project files to the shared drive. Please review and provide feedback.
Cheers,
Aditi",not spam
"Subject: Flight Itinerary
Your flight to Bangalore has been confirmed. PNR: ABC123. Check-in opens 24 hours before departure.",not spam
"Subject: Invoice #4521
Dear customer,
Thank you for your purchase. Your order has been processed and the invoice is attached.
Regards,
Sales Team",not spam
"Subject: Team lunch

PS: Call me if needed.
Let's meet at the cafeteria at 1pm for team lunch. RSVP please.

PS: Call me if needed.
- Karthik",not spam
"Subject: Follow up: Subject: Meeting agenda for tomorrow
Hi team,
Please find attached the agenda for tomorrow's meeting at 10 AM. Let me know if you have anything to add.
Thanks,
Ramesh",not spam
"Subject: Happy Birthday!
Wishing you a lovely birthday. Let's catch up this weekend.
Best,
Priya",not spam
"Subject: Password reset confirmation
Your password was successfully changed. If you did not perform this change, contact support immediately.",not spam
"Subject: Meeting agenda for tomorrow
Hi team,
Please find attached the agenda for tomorrow's meeting at 10 AM. Let me know if you have anything to add.
Thanks,
Ramesh",not spam
"Subject: Password reset confirmation

PS: See attached file.
Your password was successfully changed. If you did not perform this change, contact support immediately.",not spam
Lowest prices of the season! 70% OFF on all designer brands. Shop now and save big!,spam
Increase your credit score in 7 days — no fees. Enroll now!,spam
URGENT: Your account has been suspended. Verify your information immediately at https://secure-login.example.com,spam
"Subject: Project files

PS: See attached file.
I've uploaded the latest project files to the shared drive. Please review and provide feedback.

PS: See attached file.
Cheers,

PS: See attached file.
Aditi",not spam
Fwd: Congratulations! You've been selected to receive a $1000 gift card. Click here to claim: http://bit.ly/win-now,spam
"Subject: Meeting agenda for tomorrow
Hi team,
Please find attached the agenda for tomorrow's meeting at 10 AM. Let me know if you have anything to add.
Thanks,
Ramesh",not spam
"Subject: Meeting agenda for tomorrow

PS: Call me if needed.
Hi team,

PS: Call me if needed.
Please find attached the agenda for tomorrow's meeting at 10 AM. Let me know if you have anything to add.

PS: Call me if needed.
Thanks,

PS: Call me if needed.
Ramesh",not spam
"Subject: Invoice #4521
Dear customer,
Thank you for your purchase. Your order has been processed and the invoice is attached.
Regards,
Sales Team",not spam
"Subject: Happy Birthday!
Wishing you a lovely birthday. Let's catch up this weekend.
Best,
Priya",not spam
"Subject: Password reset confirmation
Your password was successfully changed. If you did not perform this change, contact support immediately.",not spam
"Subject: Password reset confirmation

PS: Congrats again!
Your password was successfully changed. If you did not perform this change, contact support immediately.",not spam
Congratulations! You've been selected to receive a $1000 gift card. Click here to claim: http://bit.ly/win-now,spam
"Subject: Reminder: Subject: Flight Itinerary
Your flight to Bangalore has been confirmed. PNR: ABC123. Check-in opens 24 hours before departure.",not spam
"Subject: Flight Itinerary
Your flight to Bangalore has been confirmed. PNR: ABC123. Check-in opens 24 hours before departure.",not spam
Fwd: Final notice: You owe unpaid taxes. Pay immediately to avoid penalties. Reply STOP to unsubscribe. Offer expires 2023-12-31.,spam
"Subject: University application update
Hello,
Your application status has been updated. Please log in to the portal to view details.
Regards,
Admissions Office",not spam
"Subject: Monthly Newsletter - October
Welcome to our October newsletter. This month we cover product updates and upcoming webinars.",not spam
"Subject: Meeting agenda for tomorrow

PS: Call me if needed.
Hi team,

PS: Call me if needed.
Please find attached the agenda for tomorrow's meeting at 10 AM. Let me know if you have anything to add.

PS: Call me if needed.
Thanks,

PS: Call me if needed.
Ramesh",not spam
You won a free iPhone! Provide your shipping details to receive your prize.,spam
"Subject: Flight Itinerary
Your flight to Bangalore has been confirmed. PNR: ABC123. Check-in opens 24 hours before departure.",not spam
Re: URGENT: Your account has been suspended. Verify your information immediately at http://secure-login.example.com,spam
"Subject: Reminder: Subject: Monthly Newsletter - October

PS: Call me if needed.
Welcome to our October newsletter. This month we cover product updates and upcoming webinars.",not spam
"Subject: Password reset confirmation
Your password was successfully changed. If you did not perform this change, contact support immediately.",not spam
"Subject: Reminder: Subject: Invoice #4521
Dear customer,
Thank you for your purchase. Your order has been processed and the invoice is attached.
Regards,
Sales Team",not spam
"Subject: Re: Internship offer
Thank you for the offer. I am excited to accept and look forward to joining the team.
Sincerely,
Abiram",not spam
Fwd: Final notice: You owe unpaid taxes. Pay immediately to avoid penalties.,spam
"Subject: Reminder: Subject: Happy Birthday!
Wishing you a lovely birthday. Let's catch up this weekend.
Best,
Priya",not spam
"Subject: Team lunch

PS: Congrats again!
Let's meet at the cafeteria at 1pm for team lunch. RSVP please.

PS: Congrats again!
- Karthik",not spam
Fwd: HOT: Binary options trading tips — 95% success rate. Start with $10. Reply STOP to unsubscribe. Offer expires 2025-12-31.,spam
"Subject: University application update
Hello,
Your application status has been updated. Please log in to the portal to view details.
Regards,
Admissions Office",not spam
"Subject: Meeting agenda for tomorrow
Hi team,
Please find attached the agenda for tomorrow's meeting at 10 AM. Let me know if you have anything to add.
Thanks,
Ramesh",not spam
Work from home and earn $500/day. No experience required. Apply here. Reply STOP to unsubscribe. Offer expires 2025-12-31.,spam
Re: Limited time: Buy one get one free on health supplements. Order today!,spam
"Subject: Flight Itinerary
Your flight to Bangalore has been confirmed. PNR: ABC123. Check-in opens 24 hours before departure.",not spam
"Subject: Reminder: Subject: Re: Internship offer
Thank you for the offer. I am excited to accept and look forward to joining the team.
Sincerely,
Abiram",not spam
You won a free iPhone! Provide your shipping details to receive your prize. Reply STOP to unsubscribe. Offer expires 2024-12-31.,spam
Increase your credit score in 7 days — no fees. Enroll now! Reply STOP to unsubscribe. Offer expires 2024-12-31.,spam
"Subject: Monthly Newsletter - October

PS: See attached file.
Welcome to our October newsletter. This month we cover product updates and upcoming webinars.",not spam
URGENT: Your account has been suspended. Verify your information immediately at http://secure-login.example.com,spam
This is to notify you of a package delivery failure. Verify delivery details: http://track.example.com Reply STOP to unsubscribe. Offer expires 2024-12-31.,spam
"Subject: Invoice #4521
Dear customer,
Thank you for your purchase. Your order has been processed and the invoice is attached.
Regards,
Sales Team",not spam
"Subject: Happy Birthday!
Wishing you a lovely birthday. Let's catch up this weekend.
Best,
Priya",not spam
"Subject: Monthly Newsletter - October
Welcome to our October newsletter. This month we cover product updates and upcoming webinars.",not spam
"Subject: Reminder: Subject: University application update
Hello,
Your application status has been updated. Please log in to the portal to view details.
Regards,
Admissions Office",not spam
Fwd: Investment opportunity: Double your money in 30 days. Limited slots available.,spam
"Subject: Team lunch
Let's meet at the cafeteria at 1pm for team lunch. RSVP please.
- Karthik",not spam
"Subject: Happy Birthday!
Wishing you a lovely birthday. Let's catch up this weekend.
Best,
Priya",not spam
"Subject: Project files
I've uploaded the latest project files to the shared drive. Please review and provide feedback.
Cheers,
Aditi",not spam
"Subject: Happy Birthday!
Wishing you a lovely birthday. Let's catch up this weekend.
Best,
Priya",not spam
Re: Final notice: You owe unpaid taxes. Pay immediately to avoid penalties. Reply STOP to unsubscribe. Offer expires 2025-12-31.,spam
"Subject: Password reset confirmation
Your password was successfully changed. If you did not perform this change, contact support immediately.",not spam
"Subject: Flight Itinerary
Your flight to Bangalore has been confirmed. PNR: ABC123. Check-in opens 24 hours before departure.",not spam
"Subject: Project files

PS: Congrats again!
I've uploaded the latest project files to the shared drive. Please review and provide feedback.

PS: Congrats again!
Cheers,

PS: Congrats again!
Aditi",not spam
"Subject: Password reset confirmation
Your password was successfully changed. If you did not perform this change, contact support immediately.",not spam
"Subject: Project files
I've uploaded the latest project files to the shared drive. Please review and provide feedback.
Cheers,
Aditi",not spam
Fwd: HOT: Binary options trading tips — 95% success rate. Start with $10.,spam
"Subject: Project files

PS: Congrats again!
I've uploaded the latest project files to the shared drive. Please review and provide feedback.

PS: Congrats again!
Cheers,

PS: Congrats again!
Aditi",not spam
Fwd: Congratulations! You've been selected to receive a $1000 gift card. Click here to claim: http://bit.ly/win-now Reply STOP to unsubscribe. Offer expires 2023-12-31.,spam
Fwd: Final notice: You owe unpaid taxes. Pay immediately to avoid penalties.,spam
"Subject: Re: Internship offer
Thank you for the offer. I am excited to accept and look forward to joining the team.
Sincerely,
Abiram",not spam
"Subject: Team lunch

PS: Congrats again!
Let's meet at the cafeteria at 1pm for team lunch. RSVP please.

PS: Congrats again!
- Karthik",not spam
"Subject: Project files
I've uploaded the latest project files to the shared drive. Please review and provide feedback.
Cheers,
Aditi",not spam
Re: URGENT: Your account has been suspended. Verify your information immediately at https://secure-login.example.com Reply STOP to unsubscribe. Offer expires 2024-12-31.,spam
HOT: Binary options trading tips — 95% success rate. Start with $10.,spam
"Subject: Password reset confirmation

PS: See attached file.
Your password was successfully changed. If you did not perform this change, contact support immediately.",not spam
"Subject: Project files
I've uploaded the latest project files to the shared drive. Please review and provide feedback.
Cheers,
Aditi",not spam
"Subject: Team lunch
Let's meet at the cafeteria at 1pm for team lunch. RSVP please.
- Karthik",not spam
Congratulations! You've been selected to receive a $1000 gift card. Click here to claim: http://bit.ly/win-now,spam
"Subject: Flight Itinerary
Your flight to Bangalore has been confirmed. PNR: ABC123. Check-in opens 24 hours before departure.",not spam
You have an unread voicemail. Listen now: https://voicemail.example.com,spam
"Subject: Meeting agenda for tomorrow

PS: Call me if needed.
Hi team,

PS: Call me if needed.
Please find attached the agenda for tomorrow's meeting at 10 AM. Let me know if you have anything to add.

PS: Call me if needed.
Thanks,

PS: Call me if needed.
Ramesh",not spam
"Subject: Password reset confirmation
Your password was successfully changed. If you did not perform this change, contact support immediately.",not spam
Fwd: This is to notify you of a package delivery failure. Verify delivery details: https://track.example.com Reply STOP to unsubscribe. Offer expires 2023-12-31.,spam
"Subject: Flight Itinerary
Your flight to Bangalore has been confirmed. PNR: ABC123. Check-in opens 24 hours before departure.",not spam
Final notice: You owe unpaid taxes. Pay immediately to avoid penalties.,spam
"Subject: Project files
I've uploaded the latest project files to the shared drive. Please review and provide feedback.
Cheers,
Aditi",not spam
"Subject: Re: Internship offer
Thank you for the offer. I am excited to accept and look forward to joining the team.
Sincerely,
Abiram",not spam
"Subject: Team lunch
Let's meet at the cafeteria at 1pm for team lunch. RSVP please.
- Karthik",not spam
"Subject: Meeting agenda for tomorrow
Hi team,
Please find attached the agenda for tomorrow's meeting at 10 AM. Let me know if you have anything to add.
Thanks,
Ramesh",not spam
"Subject: Re: Internship offer
Thank you for the offer. I am excited to accept and look forward to joining the team.
Sincerely,
Abiram",not spam
"Subject: Project files
I've uploaded the latest project files to the shared drive. Please review and provide feedback.
Cheers,
Aditi",not spam
"Subject: Project files
I've uploaded the latest project files to the shared drive. Please review and provide feedback.
Cheers,
Aditi",not spam
"Subject: Team lunch
Let's meet at the cafeteria at 1pm for team lunch. RSVP please.
- Karthik",not spam
Re: Work from home and earn $500/day. No experience required. Apply here.,spam
Re: Get exclusive access to adult content at discounted rates. Click to subscribe. Reply STOP to unsubscribe. Offer expires 2024-12-31.,spam
"Subject: Flight Itinerary
Your flight to Bangalore has been confirmed. PNR: ABC123. Check-in opens 24 hours before departure.",not spam
"Subject: Reminder: Subject: Monthly Newsletter - October
Welcome to our October newsletter. This month we cover product updates and upcoming webinars.",not spam
"Subject: Happy Birthday!
Wishing you a lovely birthday. Let's catch up this weekend.
Best,
Priya",not spam
"Subject: Password reset confirmation
Your password was successfully changed. If you did not perform this change, contact support immediately.",not spam
"Subject: Flight Itinerary
Your flight to Bangalore has been confirmed. PNR: ABC123. Check-in opens 24 hours before departure.",not spam
"Subject: Meeting agenda for tomorrow
Hi team,
Please find attached the agenda for tomorrow's meeting at 10 AM. Let me know if you have anything to add.
Thanks,
Ramesh",not spam
Lowest prices of the season! 70% OFF on all designer brands. Shop now and save big! Reply STOP to unsubscribe. Offer expires 2025-12-31.,spam
You have an unread voicemail. Listen now: https://voicemail.example.com,spam
"Subject: Team lunch
Let's meet at the cafeteria at 1pm for team lunch. RSVP please.
- Karthik",not spam
"Subject: Project files
I've uploaded the latest project files to the shared drive. Please review and provide feedback.
Cheers,
Aditi",not spam
"Subject: Reminder: Subject: Invoice #4521
Dear customer,
Thank you for your purchase. Your order has been processed and the invoice is attached.
Regards,
Sales Team",not spam
Fwd: Increase your credit score in 7 days — no fees. Enroll now!,spam
"Subject: Re: Internship offer
Thank you for the offer. I am excited to accept and look forward to joining the team.
Sincerely,
Abiram",not spam
"Subject: Re: Internship offer
Thank you for the offer. I am excited to accept and look forward to joining the team.
Sincerely,
Abiram",not spam
"Subject: University application update
Hello,
Your application status has been updated. Please log in to the portal to view details.
Regards,
Admissions Office",not spam
"Subject: Happy Birthday!
Wishing you a lovely birthday. Let's catch up this weekend.
Best,
Priya",not spam
"Subject: Monthly Newsletter - October
Welcome to our October newsletter. This month we cover product updates and upcoming webinars.",not spam
"Subject: Re: Internship offer

PS: Call me if needed.
Thank you for the offer. I am excited to accept and look forward to joining the team.

PS: Call me if needed.
Sincerely,

PS: Call me if needed.
Abiram",not spam
"Subject: Meeting agenda for tomorrow
Hi team,
Please find attached the agenda for tomorrow's meeting at 10 AM. Let me know if you have anything to add.
Thanks,
Ramesh",not spam
"Subject: Password reset confirmation
Your password was successfully changed. If you did not perform this change, contact support immediately.",not spam
"Subject: Invoice #4521
Dear customer,
Thank you for your purchase. Your order has been processed and the invoice is attached.
Regards,
Sales Team",not spam
"Subject: Reminder: Subject: Password reset confirmation
Your password was successfully changed. If you did not perform this change, contact support immediately.",not spam
"Subject: Invoice #4521
Dear customer,
Thank you for your purchase. Your order has been processed and the invoice is attached.
Regards,
Sales Team",not spam
"Subject: Flight Itinerary
Your flight to Bangalore has been confirmed. PNR: ABC123. Check-in opens 24 hours before departure.",not spam
"Subject: Flight Itinerary
Your flight to Bangalore has been confirmed. PNR: ABC123. Check-in opens 24 hours before departure.",not spam
You won a free iPhone! Provide your shipping details to receive your prize.,spam
"Subject: Reminder: Subject: Team lunch

PS: Call me if needed.
Let's meet at the cafeteria at 1pm for team lunch. RSVP please.

PS: Call me if needed.
- Karthik",not spam
"Subject: Meeting agenda for tomorrow
Hi team,
Please find attached the agenda for tomorrow's meeting at 10 AM. Let me know if you have anything to add.
Thanks,
Ramesh",not spam
"Subject: Project files
I've uploaded the latest project files to the shared drive. Please review and provide feedback.
Cheers,
Aditi",not spam
"Subject: Re: Internship offer
Thank you for the offer. I am excited to accept and look forward to joining the team.
Sincerely,
Abiram",not spam
Re: Limited time: Buy one get one free on health supplements. Order today! Reply STOP to unsubscribe. Offer expires 2025-12-31.,spam
"Subject: Happy Birthday!
Wishing you a lovely birthday. Let's catch up this weekend.
Best,
Priya",not spam
"Subject: University application update
Hello,
Your application status has been updated. Please log in to the portal to view details.
Regards,
Admissions Office",not spam
Final notice: You owe unpaid taxes. Pay immediately to avoid penalties. Reply STOP to unsubscribe. Offer expires 2023-12-31.,spam
"Subject: Password reset confirmation

PS: See attached file.
Your password was successfully changed. If you did not perform this change, contact support immediately.",not spam
"Subject: Re: Internship offer
Thank you for the offer. I am excited to accept and look forward to joining the team.
Sincerely,
Abiram",not spam
"Subject: Follow up: Subject: Team lunch

PS: Congrats again!
Let's meet at the cafeteria at 1pm for team lunch. RSVP please.

PS: Congrats again!
- Karthik",not spam
"Subject: Project files

PS: Congrats again!
I've uploaded the latest project files to the shared drive. Please review and provide feedback.

PS: Congrats again!
Cheers,

PS: Congrats again!
Aditi",not spam
"Subject: Invoice #4521

PS: Congrats again!
Dear customer,

PS: Congrats again!
Thank you for your purchase. Your order has been processed and the invoice is attached.

PS: Congrats again!
Regards,

PS: Congrats again!
Sales Team",not spam
"Subject: University application update
Hello,
Your application status has been updated. Please log in to the portal to view details.
Regards,
Admissions Office",not spam
"Subject: Follow up: Subject: University application update
Hello,
Your application status has been updated. Please log in to the portal to view details.
Regards,
Admissions Office",not spam
"Subject: Team lunch
Let's meet at the cafeteria at 1pm for team lunch. RSVP please.
- Karthik",not spam
"Subject: Invoice #4521
Dear customer,
Thank you for your purchase. Your order has been processed and the invoice is attached.
Regards,
Sales Team",not spam
"Subject: Reminder: Subject: Monthly Newsletter - October
Welcome to our October newsletter. This month we cover product updates and upcoming webinars.",not spam
"Subject: Project files
I've uploaded the latest project files to the shared drive. Please review and provide feedback.
Cheers,
Aditi",not spam
Fwd: HOT: Binary options trading tips — 95% success rate. Start with $10. Reply STOP to unsubscribe. Offer expires 2024-12-31.,spam
"Subject: Flight Itinerary
Your flight to Bangalore has been confirmed. PNR: ABC123. Check-in opens 24 hours before departure.",not spam
"Subject: Re: Internship offer
Thank you for the offer. I am excited to accept and look forward to joining the team.
Sincerely,
Abiram",not spam
"Subject: Team lunch
Let's meet at the cafeteria at 1pm for team lunch. RSVP please.
- Karthik",not spam
Increase your credit score in 7 days — no fees. Enroll now! Reply STOP to unsubscribe. Offer expires 2024-12-31.,spam
"Subject: Follow up: Subject: Team lunch

PS: Congrats again!
Let's meet at the cafeteria at 1pm for team lunch. RSVP please.

PS: Congrats again!
- Karthik",not spam
"Subject: Follow up: Subject: University application update
Hello,
Your application status has been updated. Please log in to the portal to view details.
Regards,
Admissions Office",not spam
"Subject: Invoice #4521
Dear customer,
Thank you for your purchase. Your order has been processed and the invoice is attached.
Regards,
Sales Team",not spam
